EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
117362,1728378,OTHER,FIRST WATCH,,10639 FISCHER PARK DR,,LOUISVILLE,KY,40241,FOOD SERVICE,2022-12-09,100,,FIRST WATCH,,10529
117362,1728765,REGULAR,FIRST WATCH,,10639 FISCHER PARK DR,,LOUISVILLE,KY,40241,FOOD SERVICE,2023-01-13,100,A,FIRST WATCH,,10530
32769,1753141,REGULAR,CORAL RIDGE ELEMENTARY,,10608 NATIONAL TURNPIKE,,LOUISVILLE,KY,40118,SCHOOL CAFETERIA OR FOOD SERVICE,2023-05-03,100,A,CORAL RIDGE ELEMENTARY,,510
32767,1696178,REGULAR,CONWAY MIDDLE SCHOOL,,6300 TERRY RD,,LOUISVILLE,KY,40258,SCHOOL CAFETERIA OR FOOD SERVICE,2022-08-23,100,A,CONWAY MIDDLE SCHOOL,,508
117366,1728560,OTHER,MOZZAPI THE LOOP,,2200 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2022-11-16,100,,MOZZAPI THE LOOP,,10533
117366,1728650,REGULAR,MOZZAPI THE LOOP,,2200 BARDSTOWN RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2022-12-16,100,A,MOZZAPI THE LOOP,,10534
32766,1732665,REGULAR,COLERIDGE TAYLOR ELEMENTARY SCHOOL,,1115 W CHESTNUT ST,,LOUISVILLE,KY,40203,SCHOOL CAFETERIA OR FOOD SERVICE,2023-02-01,100,A,COLERIDGE TAYLOR ELEMENTARY SCHOOL,,507
117367,1728579,OTHER,TACO LUCHADOR,,10305 TAYLORSVILLE RD,,LOUISVILLE,KY,40299,FOOD SERVICE,2022-12-09,100,,TACO LUCHADOR,,10536
117367,1728754,REGULAR,TACO LUCHADOR,,10305 TAYLORSVILLE RD,,LOUISVILLE,KY,40299,FOOD SERVICE,2023-01-13,100,A,TACO LUCHADOR,,10537
32764,1734474,REGULAR,COCHRANE ELEMENTARY SCHOOL,,2511 TREGARON AVE,,LOUISVILLE,KY,40299,SCHOOL CAFETERIA OR FOOD SERVICE,2023-02-10,100,A,COCHRANE ELEMENTARY SCHOOL,,503
