,Name,Rating,Review Count,Price,Address
117,Guacamole Modern Mexican,4.5,242,,"900 E Market St, Louisville, KY 40206"
118,Taqueria Los Gorditos,4.5,28,,"2017 Brownsboro Rd, Louisville, KY 40206"
119,A Toda Madre,4.5,16,,"2100 E Spring St, New Albany, IN 47150"
120,Blue Bay Seafood & Sushi Restaurant,4.5,6,,"4322 Poplar Level Rd, Louisville, KY 40213"
121,Daisuki Sushi,4.5,23,,"1604 Bardstown Rd, Louisville, KY 40205"
122,Brendon's Catch 23,4.0,407,$$$,"505 S 4th St, Louisville, KY 40202"
123,Galaxie,4.5,174,$$,"732 E Market St, Louisville, KY 40202"
124,The House of Marigold,4.0,76,$$,"10310 Shelbyville Rd, Louisville, KY 40223"
125,Blondie & Jim’s Bistro,4.5,16,,"10711 Meeting St, Prospect, KY 40059"
126,Lee's Korean Restaurant,4.5,170,$$,"1941 Bishop Ln, Ste 107, Louisville, KY 40218"
127,Havana Rumba & Tapas Bar,4.5,455,$$,"2210 Bardstown Rd, Louisville, KY 40205"
128,Ciao Ristorante,4.0,292,$$,"1201 Payne St, Louisville, KY 40204"
129,"Momma's Mustard, Pickles & BBQ",4.5,859,$$,"102 Bauer Ave, Louisville, KY 40207"
130,Currito,4.5,41,,"6460 Dutchmans Pkwy, Louisville, KY 40205"
131,Str8 Drop,5.0,5,,"304 W Woodlawn Ave, Louisville, KY 40214"
132,Barrel Bar and Grill,3.5,25,,"110 W Main St, Louisville, KY 40202"
133,Goodbounce Pickleball Yard,5.0,2,$$,"1515 River Shore Dr, Louisville, KY 40206"
134,The Silver Dollar,4.0,841,$$,"1761 Frankfort Ave, Louisville, KY 40206"
135,Borsalino Cafe & Deli,4.5,36,$,"3825 Bardstown Rd, Louisville, KY 40218"
136,Proof on Main,4.0,945,$$$,"702 West Main St, Louisville, KY 40202"
137,Mussel and Burger Bar,4.5,1155,$$,"9200 Taylorsville Rd, Louisville, KY 40299"
138,Maya Bagel Express,4.5,74,$,"3029 Poplar Level Rd, Louisville, KY 40217"
139,Simply Thai,4.0,495,$$,"323 Wallace Ave, Louisville, KY 40207"
140,Neighborhood Services,3.5,133,$$,"400 S 2nd St, Louisville, KY 40202"
141,Feast BBQ,4.0,1024,$$,"909 E Market St, Ste 100, Louisville, KY 40206"
142,Rosettes,4.0,5,,"750 E Market St, Louisville, KY 40202"
143,Mojito in Havana,4.5,154,$$,"3939 Shelbyville Rd, Ste 103, Louisville, KY 40207"
144,Oishii Sushi,4.0,324,$$,"2810 Taylorsville Rd, Louisville, KY 40205"
145,Alchemy Restaurant ,5.0,107,$$,"10640 Meeting St, Ste 10640, Prospect, KY 40059"
146,Copper & Kings Distillery,4.5,331,$$,"1121 E Washington St, Louisville, KY 40206"
147,Old Louisville Tavern,4.0,208,$$,"1532 S 4th St, Louisville, KY 40208"
148,Chick-fil-A Little Blue Menu,4.0,1,,"7900 Shelbyville Rd, Louisville, KY 40222"
149,Sarang,4.5,213,$$,"1908 Eastern Pkwy, Louisville, KY 40204"
150,Foko,4.5,73,,"1001 Logan St, Ste 124, Logan Street Market, Louisville, KY 40204"
151,Big Bad Breakfast - Brownsboro Crossing,4.0,155,$$,"5050 Norton Healthcare Blvd, Louisville, KY 40241"
152,Bakersfield,4.5,5,,"1064 Bardstown Rd, Louisville, KY 40204"
153,Barcelona Bistro Bar,4.5,131,,"10415 Taylorsville Rd, Louisville, KY 40299"
154,PokeHana,4.5,120,$$,"436 W Market St, Louisville, KY 40202"
155,Wacky Nachos,5.0,3,,"2602 Charlestown Rd, New Albany, IN 47150"
156,Noosh Nosh,4.0,204,$$,"4816 Brownsboro Ctr, Louisville, KY 40207"
157,Mirage Mediterranean Restaurant,4.5,312,$$,"4100 Preston Hwy, Louisville, KY 40213"
158,The Capital Grille,4.0,70,,"7600 Shelbyville Rd, Louisville, KY 40222"
159,Hooked on Frankfort,3.5,73,$$,"3200 Frankfort Ave, Louisville, KY 40206"
160,Queen of Sheba,4.5,287,$$,"2804 Taylorsville Rd, Louisville, KY 40257"
161,Las Cazuelas Mexican Cuisine,4.5,82,$$,"4214 Bishop Ln, Louisville, KY 40218"
162,Chef Shaqs Kitchen,4.5,28,,"612 S 5th St, Louisville, KY 40202"
163,Parlour - Downtown Louisville,4.0,90,$$,"133 West Liberty St, Louisville, KY 40202"
164,Bistro Le Relais,4.0,98,$$$,"2817 Taylorsville Rd, Louisville, KY 40205"
165,Mayan Cafe,4.5,870,$$,"813 E Market St, Louisville, KY 40206"
166,Zanzabar,4.5,214,$$,"2100 S Preston St, Louisville, KY 40217"
167,Grind Burger Kitchen,4.0,711,$$,"829 E Market St, Louisville, KY 40206"
168,On The Rocks Burgers & Bar,3.5,10,$$,"601 W Riverside Dr, Jeffersonville, IN 47130"
169,Mi Sueño Cuban Express,4.5,93,$,"3425 Bardstown Rd, Louisville, KY 40218"
170,Muscle Monkey Grill,5.0,1,,"987 Barret Ave, Louisville, KY 40204"
171,Southern Restaurant & Lounge,3.5,5,,"301 W Market St, Louisville, KY 40202"
